0.000	0.089	0.052	0.745	0.924	0.531	-0.147	-0.858	0.682	-0.254	-1.277	0.231	0.497	0.590	-1.078	0.288	0.222	-0.020	0.642	-0.158	-0.057	0.205	-0.555	-1.134	0.082	0.911	-0.131	0.336	0.828	1.134	0.260	-0.316	-1.161	-1.236	-0.149	-0.634	0.583	-1.307	-0.251	0.011	0.233	0.399	-0.821	-0.665	1.183	0.752	-1.224	-0.629	-0.810	0.540	0.067
0.000	-0.182	-0.171	0.160	0.251	0.013	-0.197	-0.300	0.343	0.010	-0.056	0.144	0.192	-0.486	0.137	-0.554	-0.048	-0.050	-0.675	0.036	0.501	-0.597	0.143	-0.080	0.294	0.659	-0.349	-0.853	0.117	0.965	-0.768	-0.283	-0.537	-0.428	0.677	-0.487	-0.475	-0.457	-0.314	-0.022	0.319	-0.932	-0.590	0.218	-0.885	-0.099	0.816	0.143	-0.045	-0.153	0.335
0.000	0.309	0.837	1.624	1.599	0.915	0.076	-0.645	1.183	-0.469	-1.237	-0.402	1.249	0.316	-1.492	1.034	-0.820	0.778	1.587	1.000	-0.083	1.170	-1.009	-1.324	0.744	1.682	-0.153	-1.257	0.255	1.019	0.730	0.917	-1.167	-1.216	0.394	-0.861	1.355	-1.414	1.027	0.932	-0.960	-1.181	-1.237	1.477	0.367	-0.211	0.150	-0.189	2.041	1.505	1.022
0.000	0.078	0.264	-0.047	-0.190	0.034	0.018	0.443	-0.060	0.141	-0.044	-0.591	0.049	-0.215	-0.009	0.289	-0.113	0.428	0.136	0.119	-0.191	0.214	-0.374	0.076	0.015	0.006	0.592	0.251	0.350	-0.543	-0.576	0.372	-0.188	-0.469	-0.630	-0.266	-0.616	-0.399	0.130	0.388	0.884	-0.464	-0.355	-0.138	1.385	-0.396	-0.007	-0.266	-0.319	-0.050	0.150
0.000	-0.301	-0.676	-0.336	-0.099	-0.595	-0.331	-0.594	-0.493	-0.053	-0.241	0.169	-0.445	0.702	-0.306	0.185	0.775	-0.262	0.333	-1.135	0.121	0.051	-0.152	-0.007	-0.992	-0.359	0.328	-0.181	0.866	-0.052	0.207	-0.522	0.200	0.156	1.057	-0.277	0.016	0.088	0.612	0.056	0.105	0.393	0.180	-0.411	0.349	-0.722	-0.648	-0.020	-0.226	0.134	0.619
0.000	1.130	0.629	0.331	0.393	0.592	0.739	1.310	0.137	1.349	1.447	0.871	0.285	0.731	1.158	0.252	-0.277	0.758	0.585	0.245	1.070	0.825	0.796	1.034	-0.328	0.450	1.166	-1.086	-0.697	0.967	0.326	0.728	1.072	1.495	1.210	0.991	0.878	0.923	0.937	0.942	-0.818	-1.570	0.944	0.762	-1.077	-1.291	0.613	1.155	0.110	0.030	0.580
0.000	0.164	0.465	0.983	0.981	0.403	0.108	0.191	0.572	-0.015	0.097	-0.242	0.261	0.279	0.334	0.498	-0.409	0.073	0.660	-0.255	-0.641	0.210	0.188	0.461	0.291	-0.293	0.165	0.282	0.100	-0.262	0.028	0.238	0.457	-0.564	0.722	0.052	0.033	0.772	0.851	-1.304	0.864	0.153	0.741	-0.434	-0.249	-0.392	0.937	-0.610	-0.384	-0.082	0.574
0.000	1.498	1.260	1.710	1.824	1.658	1.233	1.126	1.945	1.687	1.349	1.845	1.714	1.697	1.630	1.549	-1.493	1.481	1.504	1.827	2.134	1.155	1.942	1.786	1.793	1.960	1.260	-1.341	-1.379	2.134	1.293	1.935	1.559	1.762	1.831	1.230	1.732	1.571	2.014	1.457	-0.998	-2.347	1.908	1.083	-1.164	-2.421	1.418	1.168	1.416	1.674	2.366
0.000	-0.173	-0.047	-0.007	-0.038	-0.049	-0.043	0.140	0.035	0.064	0.707	0.605	0.133	0.060	0.950	0.114	-0.141	0.025	-0.116	0.170	0.880	-0.461	0.934	0.747	0.342	0.142	0.242	-0.145	-0.299	0.725	-0.257	0.331	0.540	0.446	0.803	0.571	-0.484	0.712	0.358	0.383	0.058	-0.059	0.637	0.700	-0.879	-0.066	0.871	0.816	0.192	0.102	0.158
0.000	1.045	0.675	1.733	2.036	1.298	1.158	0.542	1.723	0.680	0.162	0.683	0.866	0.900	0.361	0.623	-0.799	0.394	0.880	1.390	0.500	0.872	0.579	1.156	0.414	1.518	0.857	-0.321	-0.691	1.963	1.479	0.299	0.576	-0.425	0.684	0.644	0.978	0.144	1.085	1.157	-1.052	-0.689	0.456	0.763	-0.599	-1.184	0.364	0.337	1.000	1.118	1.441
0.000	-0.248	-0.250	-0.099	-0.040	-0.274	-0.335	-0.720	-0.035	-0.407	-0.881	-0.582	-0.137	-0.583	-1.133	-0.539	0.152	-0.504	-0.382	-0.120	-0.841	-0.109	-0.824	-1.303	0.425	-0.069	-1.476	0.221	0.298	0.001	-0.729	-0.101	-0.722	0.536	-1.019	-0.268	-0.492	-0.636	0.587	-0.799	0.492	0.721	-0.900	-0.031	1.237	0.752	-0.257	-0.275	0.984	0.047	-0.653
0.000	1.028	0.565	1.014	1.228	1.020	0.882	1.092	0.920	1.239	1.307	1.244	0.642	0.829	1.187	0.437	-0.365	0.676	0.872	0.415	0.530	0.725	1.131	1.314	0.095	1.082	1.237	-0.395	-0.837	1.490	0.973	0.074	0.870	0.476	1.390	0.515	0.104	1.179	1.199	0.492	-0.428	-0.670	1.105	0.314	-1.166	-0.613	0.886	1.691	0.486	1.009	0.116
0.000	-0.331	-0.062	-0.175	-0.265	-0.268	-0.560	-0.436	-0.409	-0.248	0.095	-0.046	0.078	-0.138	0.088	-0.368	0.298	-0.466	-0.327	-0.715	-1.125	0.248	0.054	0.058	0.292	-0.612	-0.572	0.914	-0.019	-0.616	-0.693	-0.381	0.457	0.938	-0.606	0.127	-0.662	0.840	0.096	-1.777	0.667	0.892	0.911	-0.653	0.112	0.989	0.394	-0.271	-0.526	0.817	-1.319
0.000	1.243	1.035	1.419	1.502	1.057	1.241	0.978	1.324	1.022	0.957	0.882	1.028	1.154	0.599	1.541	-1.693	0.876	1.201	1.578	0.814	1.375	0.724	0.640	1.146	0.466	0.720	-1.121	-1.667	0.183	1.534	1.219	0.931	1.405	0.040	1.499	0.917	0.843	0.777	1.675	-0.683	-0.668	0.874	1.266	-0.649	-0.791	0.356	0.164	0.941	1.054	0.937
